1111/01,Chairpersons
1111/02,Chief executives
1111/03,Diplomats and foreign office officials
1111/04,Senior public service officials
1111/99,Chief executives and senior officials n.e.c.
,Elected officers and representatives
1112/01,Assembly members and Members of Parliament
1112/02,Councillors
1112/99,Elected officers and representatives n.e.c.
,Production Managers and Directors
,Production managers and directors in manufacturing
1121/00,Production managers and directors in manufacturing
,Production managers and directors in construction
1122/00,Production managers and directors in construction
,Production managers and directors in mining and energy
1123/01,Managers and directors in the extraction of fossil fuels
1123/02,Managers and directors in the production of energy
1123/99,Production managers and directors in mining and energy n.e.c.
,Functional Managers and Directors
,Financial managers and directors
1131/01,"Bank, building society and post office managers"
1131/02,Company secretaries and finance managers and directors
1131/03,Investment bankers and directors
1131/99,Financial managers and directors n.e.c.
,"Marketing, sales and advertising directors"
1132/01,Advertising and marketing directors
1132/02,Sales directors
1132/99,"Marketing, sales and advertising directors n.e.c."
,Public relations and communications directors
1133/00,Public relations and communications directors
,Purchasing managers and directors
1134/01,Estimating managers and directors
1134/02,Procurement and purchasing managers and directors
1134/99,Purchasing managers and directors n.e.c.
,Charitable organisation managers and directors
1135/00,Charitable organisation managers and directors
,Human resource managers and directors
1136/01,Employee relations managers
1136/02,"Equality, diversity and inclusion managers"
1136/03,Learning and development managers and directors
1136/04,Recruitment managers and directors
1136/99,Human resources managers and directors n.e.c.
,Information technology directors
1137/01,Information security directors
1137/02,Information technology operations directors
1137/03,Information technology programme managers and directors
1137/04,Information technology technical directors
1137/99,Information technology directors n.e.c.
,Functional managers and directors n.e.c.
1139/01,Accounts directors
1139/02,Administration directors
1139/03,Complaints and customer service directors
1139/04,Events directors
1139/05,Intellectual property managers and directors
1139/06,Municipal clerks
1139/07,Research and development (R&D) directors
1139/99,Functional managers and directors n.e.c.
,"Directors in Logistics, Warehousing and Transport"
,"Directors in logistics, warehousing and transport"
1140/01,Supply chain directors
1140/99,"Directors in logistics, warehousing and transport n.e.c."
,Managers and Directors in Retail and Wholesale
,Managers and directors in retail and wholesale
1150/00,Managers and directors in retail and wholesale
,Senior Officers in Protective Services
,Officers in armed forces
1161/01,Army officers
1161/02,Royal Air Force officers
1161/03,Royal Marines officers
1161/04,Royal Navy officers
1161/99,Officers in armed forces n.e.c.
,Senior police officers
1162/01,"Chief, deputy chief and assistant chief constables"
1162/02,Chief inspectors
1162/03,Chief superintendents
1162/99,Senior police officers n.e.c.
,"Senior officers in fire, ambulance, prison and related services"
1163/01,Senior officers in ambulance services
1163/02,Senior officers in fire services
1163/03,Senior officers in immigration services
1163/04,Senior officers in prison services
1163/05,Senior officers in revenue and customs
,Health and Social Services Managers and Directors
,Health services and public health managers and directors
1171/01,Clinical governance and information managers
1171/02,Healthcare service managers and directors
1171/99,Health services and public health managers and directors n.e.c.
,Social services managers and directors
1172/00,Social services managers and directors
,OTHER MANAGERS AND PROPRIETORS
,Managers and Proprietors in Agriculture Related Services
,Managers and proprietors in agriculture and horticulture
1211/00,Managers and proprietors in agriculture and horticulture
,"Managers and proprietors in forestry, fishing and related services"
1212/01,Cattery and kennel managers and proprietors
1212/02,Fisheries managers and proprietors
1212/03,Forestry managers
1212/04,Livery yard and stud farm managers and proprietors
1212/05,Racehorse trainers
1212/99,"Managers and proprietors in forestry, fishing and related services n.e.c."
,Managers and Proprietors in Hospitality and Leisure Services
,Hotel and accommodation managers and proprietors
1221/00,Hotel and accommodation managers and proprietors
,Restaurant and catering establishment managers and proprietors
1222/01,Caf? and restaurant managers and proprietors
1222/02,Catering operations managers
1222/03,Takeaway managers and proprietors
1222/99,Restaurant and catering establishment managers and proprietors n.e.c.
,Publicans and managers of licensed premises
1223/00,Publicans and managers of licensed premises
,Leisure and sports managers and proprietors
1224/01,Cinema managers and proprietors
1224/02,Golf course managers
1224/03,"Gym, fitness and leisure services managers and proprietors"
1224/04,Marina managers
1224/05,Museum managers and proprietors
1224/06,Parks and gardens managers
1224/07,Theatre managers (excludes hospital service)
1224/99,Leisure and sports managers and proprietors n.e.c.
,Travel agency managers and proprietors
1225/00,Travel agency managers and proprietors
,Managers and Proprietors in Health and Care Services
,Health care practice managers
1231/01,Dental practice managers
1231/02,Medical practice managers
1231/03,Opticians managers
1231/04,Veterinary practice managers
1231/99,Health care practice managers n.e.c.
,"Residential, day and domiciliary care managers and proprietors"
1232/01,Day care managers
1232/02,Home care managers
1232/03,Residential care managers and proprietors
1232/99,"Residential, day and domiciliary care managers and proprietors n.e.c."
,Early education and childcare services proprietors
1233/00,Early education and childcare services proprietors
,"Managers in Logistics, Warehousing and Transport"
,Managers in transport and distribution
1241/01,Airport managers
1241/02,Depot and fleet managers
1241/03,Dispatch and distribution managers
1241/04,Harbour and port managers
1241/05,Road traffic managers
1241/99,Managers in transport and distribution n.e.c.
,Managers in storage and warehousing
1242/00,Managers in storage and warehousing
,Managers in logistics
1243/00,Managers in logistics
,Managers and Proprietors in Other Services
,"Property, housing and estate managers"
1251/01,Facilities managers
1251/02,"Landlords, property and housing managers"
1251/03,Property investors and developers
1251/04,Sales and lettings managers
1251/05,Shopping centre managers
1251/99,"Property, housing and estate managers n.e.c."
,Garage managers and proprietors
1252/00,Garage managers and proprietors
,Hairdressing and beauty salon managers and proprietors
1253/01,Beauty salon managers and proprietors
1253/02,Hairdressing managers and proprietors
1253/99,Hairdressing and beauty salon managers and proprietors n.e.c.
,Waste disposal and environmental services managers
1254/01,Landfill site managers
1254/02,Recycling managers
1254/03,Scrap yard managers
