age,code,wage,benifit
34,23,30716,875.0
47,12,40361,1289.0
63,21,33750,1005.0
79,11,43014,1422.0
26,21,55779,1530.0
57,82,26933,274.0
31,21,62906,1729.0
74,62,24488,449.0
49,61,28151,457.0
62,23,31304,938.0
47,92,22341,152.0
72,21,54610,1576.0
64,52,44866,854.0
45,52,42819,788.0
65,82,27277,290.0
30,24,31376,886.0
20,24,52174,1424.0
66,61,28019,483.0
99,34,38515,1063.0
24,61,29925,439.0
36,34,29300,743.0
79,54,29836,628.0
74,35,29930,821.0
47,12,38117,1221.0
30,12,47583,1477.0
57,35,26366,710.0
32,81,27443,236.0
26,24,37192,1035.0
88,54,30779,659.0
36,35,41600,1030.0
87,34,43713,1164.0
48,35,34002,873.0
45,92,20744,144.0
88,81,28648,337.0
97,11,54498,1796.0
24,81,27774,225.0
35,33,30491,769.0
88,81,31279,355.0
25,31,40879,995.0
80,51,26042,567.0
74,92,26989,213.0
97,22,36728,1141.0
39,62,22537,365.0
20,31,29414,719.0
20,33,11680,305.0
38,82,32564,280.0
43,23,50887,1428.0
68,21,63958,1818.0
80,54,27026,583.0
67,41,23428,580.0
42,24,38823,1105.0
61,21,38836,1137.0
27,31,30266,751.0
37,34,25324,652.0
86,82,26572,320.0
35,22,32805,933.0
39,23,34748,991.0
91,23,34821,1080.0
89,54,26064,582.0
76,92,23522,205.0
71,62,25484,458.0
91,52,36619,761.0
73,22,44533,1309.0
65,11,58753,1870.0
88,52,30776,659.0
57,53,28893,576.0
56,35,45064,1144.0
27,21,63006,1725.0
40,71,21878,285.0
34,34,44320,1090.0
41,21,45286,1275.0
21,35,40140,971.0
44,22,52728,1479.0
29,32,29551,737.0
59,12,49061,1570.0
45,23,49559,1396.0
25,54,27691,503.0
66,31,29977,809.0
91,53,35235,738.0
56,92,30236,194.0
62,35,42114,1085.0
18,12,35736,1102.0
62,62,28371,481.0
61,81,25303,270.0
55,35,38432,988.0
87,62,25403,483.0
76,54,26289,564.0
87,72,25907,404.0
57,32,26968,724.0
63,12,43019,1395.0
62,22,41557,1211.0
23,21,53439,1463.0
41,21,33472,960.0
83,22,36390,1108.0
63,21,32192,963.0
31,12,46876,1457.0
68,22,50186,1451.0
89,51,27146,600.0
92,31,34311,953.0
